state-label,state-value,city-label,city-value,station-label,station-value,lat,long
Bihar,Bihar,Muzaffarpur,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",site_5370,26.1482548,85.3316096785584
Bihar,Bihar,Muzaffarpur,Muzaffarpur,"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",site_5479,42.3582529,-71.0966272383055
Bihar,Bihar,Patna,Patna,"Rajbansi Nagar, Patna - BSPCB",site_5262,25.6066335,85.1014347
Bihar,Bihar,Patna,Patna,"Govt. High School Shikarpur, Patna - BSPCB",site_5335,25.6093239,85.1235252
Bihar,Bihar,Patna,Patna,"Muradpur, Patna - BSPCB",site_5261,25.6093239,85.1235252
Bihar,Bihar,Patna,Patna,"IGSC Planetarium Complex, Patna - BSPCB",site_157,25.6093239,85.1235252
Bihar,Bihar,Patna,Patna,"DRM Office Danapur, Patna - BSPCB",site_5336,25.585451499999998,85.04482657565418
Bihar,Bihar,Patna,Patna,"Samanpura, Patna - BSPCB",site_5263,25.6093239,85.1235252
Bihar,Bihar,Purnia,Purnia,"Mariam Nagar, Purnia - BSPCB",site_5549,25.7758723,87.4087666694604
Bihar,Bihar,Rajgir,Rajgir,"Dangi Tola, Rajgir - BSPCB",site_5489,25.0299973,85.4207368
Bihar,Bihar,Saharsa,Saharsa,"Police Line, Saharsa - BSPCB",site_5551,25.83307565,86.61437508111757
Bihar,Bihar,Samastipur,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",site_5552,25.77478845,85.867231389952
Bihar,Bihar,Sasaram,Sasaram,"Dada Peer, Sasaram - BSPCB",site_5485,24.9509656,84.0148733
Bihar,Bihar,Siwan,Siwan,"Chitragupta Nagar, Siwan - BSPCB",site_5553,26.131008,84.39107448141786
Chandigarh,Chandigarh,Chandigarh,Chandigarh,"Sector-53, Chandigarh - CPCC",site_5582,39.2281594,-78.8558549
Chandigarh,Chandigarh,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",site_5127,39.2281594,-78.8558549
Chandigarh,Chandigarh,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",site_5491,30.7334256,76.7713451
