state_lbl,state_val,city_lbl,city_val,stn_lbl,stn_val,lat,long,geometry,index_right,Area
Bihar,Bihar,Bhagalpur,Bhagalpur,"DM Office_Kachari Chowk, Bhagalpur - BSPCB",site_5543,25.28613535,87.13042293057262,POINT (87.13042293057262 25.28613535),252,3942949.59384
Bihar,Bihar,Bihar Sharif,Bihar Sharif,"D M Colony, Bihar Sharif - BSPCB",site_5481,25.193859,85.5208617,POINT (85.5208617 25.193859),252,3942949.59384
Bihar,Bihar,Buxar,Buxar,"Charitra Van, Buxar - BSPCB",site_5542,25.5044834,84.10975247469455,POINT (84.10975247469455 25.5044834),252,3942949.59384
Bihar,Bihar,Chhapra,Chhapra,"Darshan Nagar, Chhapra - BSPCB",site_5545,25.7784105,84.7514507,POINT (84.7514507 25.7784105),252,3942949.59384
Bihar,Bihar,Gaya,Gaya,"Kareemganj, Gaya - BSPCB",site_5548,24.67938895,85.01158329654393,POINT (85.01158329654393 24.67938895),252,3942949.59384
Bihar,Bihar,Gaya,Gaya,"SFTI Kusdihra, Gaya - BSPCB",site_5338,24.67938895,85.01158329654393,POINT (85.01158329654393 24.67938895),252,3942949.59384
Bihar,Bihar,Gaya,Gaya,"Collectorate, Gaya - BSPCB",site_159,24.78742353078989,84.98783131883661,POINT (84.98783131883661 24.78742353078989),252,3942949.59384
Bihar,Bihar,Hajipur,Hajipur,"Industrial Area, Hajipur - BSPCB",site_5337,25.6905702,85.2090351,POINT (85.2090351 25.6905702),252,3942949.59384
Bihar,Bihar,Katihar,Katihar,"Mirchaibari, Katihar - BSPCB",site_5546,25.5586421,87.64571962485962,POINT (87.64571962485962 25.5586421),252,3942949.59384
Bihar,Bihar,Kishanganj,Kishanganj,"SDM Office_Khagra, Kishanganj - BSPCB",site_5547,26.29841435,87.94667148301295,POINT (87.94667148301295 26.29841435),252,3942949.59384
Bihar,Bihar,Manguraha,Manguraha,"Forest Rest House, Manguraha - BSPCB",site_5550,26.3583278,85.3281977,POINT (85.3281977 26.3583278),252,3942949.59384
Bihar,Bihar,Motihari,Motihari,"Gandak Colony, Motihari - BSPCB",site_5478,26.6506888,84.9114654,POINT (84.9114654 26.6506888),252,3942949.59384
Bihar,Bihar,Munger,Munger,"Town Hall, Munger - BSPCB",site_5490,25.2202864,86.51614835791698,POINT (86.51614835791698 25.2202864),252,3942949.59384
Bihar,Bihar,Muzaffarpur,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",site_158,26.1482548,85.3316096785584,POINT (85.3316096785584 26.1482548),252,3942949.59384
Bihar,Bihar,Muzaffarpur,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",site_5370,26.1482548,85.3316096785584,POINT (85.3316096785584 26.1482548),252,3942949.59384
Bihar,Bihar,Patna,Patna,"Rajbansi Nagar, Patna - BSPCB",site_5262,25.6066335,85.1014347,POINT (85.1014347 25.6066335),252,3942949.59384
Bihar,Bihar,Patna,Patna,"Govt. High School Shikarpur, Patna - BSPCB",site_5335,25.6093239,85.1235252,POINT (85.1235252 25.6093239),252,3942949.59384
Bihar,Bihar,Patna,Patna,"Muradpur, Patna - BSPCB",site_5261,25.6093239,85.1235252,POINT (85.1235252 25.6093239),252,3942949.59384
Bihar,Bihar,Patna,Patna,"IGSC Planetarium Complex, Patna - BSPCB",site_157,25.6093239,85.1235252,POINT (85.1235252 25.6093239),252,3942949.59384
Bihar,Bihar,Patna,Patna,"DRM Office Danapur, Patna - BSPCB",site_5336,25.5854515,85.04482657565418,POINT (85.04482657565418 25.5854515),252,3942949.59384
Bihar,Bihar,Patna,Patna,"Samanpura, Patna - BSPCB",site_5263,25.6093239,85.1235252,POINT (85.1235252 25.6093239),252,3942949.59384
Bihar,Bihar,Purnia,Purnia,"Mariam Nagar, Purnia - BSPCB",site_5549,25.7758723,87.4087666694604,POINT (87.4087666694604 25.7758723),252,3942949.59384
Bihar,Bihar,Rajgir,Rajgir,"Dangi Tola, Rajgir - BSPCB",site_5489,25.0299973,85.4207368,POINT (85.4207368 25.0299973),252,3942949.59384
Bihar,Bihar,Saharsa,Saharsa,"Police Line, Saharsa - BSPCB",site_5551,25.83307565,86.61437508111757,POINT (86.61437508111757 25.83307565),252,3942949.59384
Bihar,Bihar,Samastipur,Samastipur,"DM Office_Kasipur, Samastipur - BSPCB",site_5552,25.77478845,85.867231389952,POINT (85.867231389952 25.77478845),252,3942949.59384
Bihar,Bihar,Sasaram,Sasaram,"Dada Peer, Sasaram - BSPCB",site_5485,24.9509656,84.0148733,POINT (84.0148733 24.9509656),252,3942949.59384
Bihar,Bihar,Siwan,Siwan,"Chitragupta Nagar, Siwan - BSPCB",site_5553,26.131008,84.39107448141786,POINT (84.39107448141786 26.131008),252,3942949.59384
Chandigarh,Chandigarh,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",site_5491,30.7334256,76.7713451,POINT (76.7713451 30.7334256),252,3942949.59384
Chhattisgarh,Chhattisgarh,Bhilai,Bhilai,"Hathkhoj, Bhilai - CECB",site_5659,21.2120677,81.3732849,POINT (81.3732849 21.2120677),252,3942949.59384
Chhattisgarh,Chhattisgarh,Bhilai,Bhilai,"Civic Center, Bhilai - Bhilai Steel Plant",site_5536,21.18143385,81.34381534387566,POINT (81.34381534387566 21.18143385),252,3942949.59384
Chhattisgarh,Chhattisgarh,Bhilai,Bhilai,"32Bungalows, Bhilai - CECB",site_5660,21.2120677,81.3732849,POINT (81.3732849 21.2120677),252,3942949.59384
Chhattisgarh,Chhattisgarh,Bilaspur,Bilaspur,"Mangala, Bilaspur - NTPC",site_5503,22.0920206,82.1271466,POINT (82.1271466 22.0920206),252,3942949.59384
Chhattisgarh,Chhattisgarh,Korba,Korba,"Rampur, Korba - CECB",site_5656,22.374284,82.747178,POINT (82.747178 22.374284),252,3942949.59384
Chhattisgarh,Chhattisgarh,Korba,Korba,"Urja Nagar, Korba - CECB",site_5657,22.5198217,82.63500285150224,POINT (82.63500285150224 22.5198217),252,3942949.59384
Chhattisgarh,Chhattisgarh,Kunjemura,Kunjemura,"OP Jindal School, Kunjemura - CECB",site_5690,21.6637359,81.8406351,POINT (81.8406351 21.6637359),252,3942949.59384
Chhattisgarh,Chhattisgarh,Milupara,Milupara,"Govt. Higher Secondary School, Milupara - CECB",site_5691,21.6637359,81.8406351,POINT (81.8406351 21.6637359),252,3942949.59384
